aX,aY,aZ,gX,gY,gZ
0.510,0.549,0.684,275.269,285.217,-116.577
0.503,0.529,0.407,283.936,235.718,-118.408
0.497,0.434,0.125,281.799,192.444,-118.469
0.475,0.278,-0.152,271.484,158.020,-119.324
0.427,0.133,-0.387,255.615,134.949,-123.413
0.335,0.012,-0.551,236.755,125.000,-129.089
0.245,-0.003,-0.651,217.407,129.517,-136.108
0.155,0.055,-0.683,200.134,145.203,-143.738
0.089,0.118,-0.683,183.289,164.612,-147.461
0.044,0.200,-0.662,167.725,178.955,-145.813
-0.000,0.291,-0.625,154.480,185.486,-140.076
-0.028,0.349,-0.579,142.700,184.692,-130.920
-0.056,0.405,-0.541,131.165,174.133,-119.568
-0.102,0.475,-0.516,119.568,151.794,-108.826
-0.165,0.559,-0.508,108.154,118.164,-101.074
-0.230,0.665,-0.526,98.145,75.623,-96.436
-0.301,0.818,-0.606,91.064,26.306,-96.130
-0.382,0.945,-0.725,82.642,-26.428,-103.455
-0.453,1.068,-0.860,64.758,-83.069,-118.774
-0.568,1.214,-1.004,36.011,-138.550,-134.338
-0.791,1.297,-1.214,2.319,-182.739,-140.625
-1.117,1.377,-1.357,-29.846,-196.899,-129.761
-1.327,1.457,-1.384,-63.660,-165.344,-101.318
-1.392,1.562,-1.298,-98.572,-93.811,-54.443
-1.257,1.630,-1.142,-128.174,-6.470,3.113
-1.031,1.617,-0.959,-149.109,69.824,56.519
-0.842,1.606,-0.786,-162.048,117.188,94.055
-0.714,1.616,-0.619,-170.166,133.301,115.479
-0.678,1.652,-0.454,-177.246,120.544,123.901
-0.718,1.720,-0.272,-186.035,85.083,126.099
-0.811,1.805,-0.120,-195.496,27.527,130.371
-0.907,1.885,-0.053,-204.224,-39.612,139.954
-1.015,1.936,-0.069,-211.609,-99.243,157.898
-1.095,2.016,-0.060,-217.651,-139.282,187.805
-1.072,2.114,0.055,-225.098,-157.166,227.661
-0.945,2.187,0.304,-233.032,-158.691,270.508
-0.704,2.221,0.670,-232.361,-158.142,308.777
-0.404,2.247,1.034,-224.487,-173.340,334.961
