aX,aY,aZ,gX,gY,gZ
1.076,0.204,0.514,-32.654,-133.972,293.701
1.245,0.181,0.493,-33.325,-122.559,307.434
1.438,0.121,0.459,-29.419,-106.262,318.420
1.647,0.101,0.464,-15.930,-86.792,325.623
1.935,0.054,0.471,20.691,-66.589,329.163
1.966,0.005,0.379,61.035,-54.626,330.627
2.660,-0.153,0.370,81.055,-51.086,327.148
2.490,-0.263,0.571,87.158,-82.031,322.144
2.622,-0.393,0.252,83.557,-65.552,289.062
2.839,-0.447,0.102,92.224,-40.710,241.760
2.964,-0.417,0.037,98.145,-39.917,210.449
2.978,-0.398,-0.066,89.294,-48.767,199.097
3.016,-0.452,-0.243,73.059,-56.824,190.125
3.077,-0.542,-0.339,57.922,-65.674,172.913
3.170,-0.609,-0.360,37.781,-76.538,144.348
3.225,-0.619,-0.429,14.221,-82.642,105.591
3.175,-0.593,-0.484,-3.174,-84.473,64.758
3.062,-0.503,-0.495,-13.489,-83.313,28.076
2.948,-0.421,-0.528,-21.362,-73.975,-3.052
2.813,-0.346,-0.563,-26.978,-56.641,-27.161
2.702,-0.305,-0.570,-30.945,-33.875,-47.729
2.588,-0.291,-0.553,-35.278,-10.437,-67.749
2.455,-0.239,-0.527,-39.368,8.423,-88.562
2.327,-0.140,-0.491,-43.762,24.658,-109.314
2.218,-0.035,-0.442,-48.157,38.391,-126.953
2.206,0.109,-0.416,-52.429,50.232,-140.747
2.160,-0.005,-0.382,-53.345,55.786,-153.992
2.087,-0.073,-0.400,-59.875,58.289,-167.542
2.034,-0.033,-0.429,-70.984,60.425,-184.387
1.980,0.044,-0.447,-80.688,59.692,-206.116
1.805,-0.006,-0.458,-91.736,55.603,-229.065
1.719,0.109,-0.490,-111.633,54.565,-249.390
1.621,0.130,-0.456,-126.099,52.795,-267.273
1.505,0.145,-0.402,-139.038,50.842,-280.762
1.390,0.172,-0.357,-152.893,54.260,-291.931
1.270,0.201,-0.312,-160.828,59.998,-300.415
1.154,0.231,-0.259,-162.537,67.505,-303.955
1.059,0.256,-0.188,-163.269,78.735,-302.612
0.978,0.276,-0.105,-165.527,94.055,-296.570
0.885,0.280,-0.014,-166.626,111.694,-287.415
0.776,0.286,0.077,-165.344,130.554,-277.405
0.662,0.272,0.141,-161.987,149.719,-266.724
0.551,0.293,0.199,-156.006,168.274,-256.592
0.430,0.309,0.248,-148.743,189.331,-245.667
